date,xsales,antallordre,produkt,sales,invoiced,refunded,sales tax,sales shipping,sales discount,canceled
2023-12-31, 9 711.06,8,16, 9 711.06, 1 558.00, 0.00, 1 853.21, 445.00, 0.00,0.0
2024-01-01, 24 784.10,15,40, 24 784.10, 8 075.45, 0.00, 4 834.00, 623.00, 588.90,0.0
2024-01-02, 9 181.75,5,13, 9 181.75, 737.00, 0.00, 1 782.95, 267.00, 162.25,0.0
2024-01-03, 23 799.40,24,41, 23 799.40, 4 083.40, 0.00, 4 427.02, 1 691.00, 520.90,0.0
2024-01-04, 17 322.10,14,28, 17 322.10, 5 919.00, 0.00, 3 250.42, 1 070.00, 279.90,0.0
2024-01-05, 9 261.00,8,12, 9 261.00, 2 843.00, 758.00, 1 691.60, 803.00, 0.00,0.0
2024-01-06, 20 170.50,15,40, 20 170.50, 1 094.00, 0.00, 3 891.70, 712.00, 331.50,0.0
2024-01-07, 34 848.20,18,41, 34 848.20, 0.00, 0.00, 6 773.84, 979.00, 179.80,0.0
2024-01-08, 17 235.15,14,25, 17 235.15, 0.00, 0.00, 3 233.03, 1 070.00, 419.85,0.0
2024-01-09, 30 493.05,21,52, 30 493.05, 6 298.30, 0.00, 5 851.19, 1 246.00, 662.95,0.0
2024-01-10, 18 277.00,15,28, 18 277.00, 3 822.10, 0.00, 3 495.20, 801.00, 1 586.00,0.0
2024-01-11, 25 501.40,17,30, 25 501.40, 5 483.00, 988.00, 4 820.28, 1 400.00, 199.60,0.0
2024-01-12, 22 328.00,18,30, 22 328.00, 6 563.00, 0.00, 4 252.00, 1 068.00, 0.00,0.0
2024-01-13, 17 842.20,13,29, 17 842.20, 2 754.00, 0.00, 3 290.22, 1 400.00, 28.80,0.0
2024-01-14, 14 745.40,15,20, 14 745.40, 288.00, 0.00, 2 739.04, 1 068.00, 222.60,0.0
2024-01-15, 17 943.10,17,35, 17 943.10, 3 297.30, 0.00, 3 376.80, 1 068.00, 509.90,0.0
2024-01-16, 38 415.75,24,46, 38 415.75, 5 167.40, 0.00, 7 397.95, 1 426.00, 1 424.25,0.0
2024-01-17, 18 046.30,13,24, 18 046.30, 0.00, 0.00, 3 431.26, 890.00, 569.70,0.0
2024-01-18, 31 915.80,21,38, 31 915.80, 7 704.20, 0.00, 6 017.72, 1 845.00, 751.20,0.0
2024-01-19, 19 122.85,12,27, 19 122.85, 0.00, 0.00, 3 683.95, 712.00, 852.15,0.0
2024-01-20, 23 056.95,12,18, 23 056.95, 4 716.95, 0.00, 4 366.99, 1 222.00, 517.05,0.0
2024-01-21, 11 998.84,12,35, 11 998.84, 1 688.64, 0.00, 2 223.55, 890.00, 256.43,0.0
2024-01-22, 21 906.20,17,27, 21 906.20, 1 755.00, 0.00, 4 085.22, 1 489.00, 35.80,0.0
2024-01-23, 33 318.50,19,49, 33 318.50, 0.00, 0.00, 6 505.28, 801.00, 373.50,0.0
2024-01-24, 14 243.70,10,22, 14 243.70, 2 399.00, 0.00, 2 743.72, 534.00, 438.30,0.0
2024-01-25, 34 484.95,26,56, 34 484.95, 2 157.20, 0.00, 6 617.53, 1 424.00, 2 093.05,0.0
2024-01-26, 13 773.30,13,17, 13 773.30, 2 099.00, 0.00, 2 576.66, 890.00, 239.70,0.0
2024-01-27, 10 296.00,9,17, 10 296.00, 908.00, 0.00, 1 934.60, 623.00, 0.00,0.0
2024-01-28, 18 565.40,16,34, 18 565.40, 1 796.40, 0.00, 3 517.28, 979.00, 199.60,0.0
2024-01-29, 23 214.53,13,42, 23 214.53, 2 335.00, 0.00, 4 553.91, 445.00, 778.65,0.0
2024-01-30, 20 563.95,16,33, 20 563.95, 2 951.65, 0.00, 3 972.17, 712.00, 875.05,0.0
2024-01-31, 12 701.00,13,19, 12 701.00, 2 705.00, 0.00, 2 326.20, 1 070.00, 0.00,0.0
2024-02-01, 15 437.00,9,18, 15 437.00, 1 698.00, 0.00, 2 896.40, 955.00, 0.00,0.0
2024-02-02, 19 383.74,12,33, 19 383.74, 1 754.09, 0.00, 3 787.75, 445.00, 628.35,0.0
2024-02-03, 8 459.20,7,12, 8 459.20, 1 037.00, 0.00, 1 604.62, 445.00, 123.80,0.0
2024-02-04, 16 580.00,12,21, 16 580.00, 388.00, 0.00, 3 155.80, 801.00, 0.00,0.0
2024-02-05, 18 747.30,13,28, 18 747.30, 649.00, 0.00, 3 624.86, 623.00, 707.70,0.0
2024-02-06, 13 259.00,9,16, 13 259.00, 5 153.00, 0.00, 2 443.00, 1 044.00, 0.00,0.0
2024-02-07, 13 224.44,9,20, 13 224.44, 0.00, 0.00, 2 555.89, 445.00, 680.56,0.0
2024-02-08, 20 265.98,16,52, 20 265.98, 4 118.48, 0.00, 3 910.80, 712.00, 634.02,0.0
2024-02-09, 15 251.28,9,14, 15 251.28, 5 749.14, 0.00, 2 961.26, 445.00, 419.72,0.0
2024-02-10, 14 980.50,10,33, 14 980.50, 5 315.00, 0.00, 2 871.50, 623.00, 299.50,0.0
2024-02-11, 13 617.15,10,33, 13 617.15, 2 358.00, 0.00, 2 634.43, 445.00, 359.85,0.0
2024-02-12, 10 625.00,7,11, 10 625.00, 0.00, 0.00, 2 053.80, 356.00, 0.00,0.0
2024-02-13, 10 913.58,10,15, 10 913.58, 3 340.44, 0.00, 2 042.10, 712.00, 523.42,0.0
2024-02-14, 13 943.00,12,15, 13 943.00, 288.00, 0.00, 2 610.60, 890.00, 0.00,0.0
2024-02-15, 8 131.00,11,13, 8 131.00, 1 639.00, 0.00, 1 448.20, 890.00, 0.00,0.0
2024-02-16, 18 302.00,14,33, 18 302.00, 3 227.00, 0.00, 3 500.20, 801.00, 0.00,0.0
2024-02-17, 12 809.20,10,14, 12 809.20, 288.00, 0.00, 2 437.24, 623.00, 169.80,0.0
2024-02-18, 14 931.20,13,41, 14 931.20, 3 056.00, 0.00, 2 843.84, 712.00, 183.80,0.0
2024-02-19, 18 827.48,19,38, 18 827.48, 2 094.00, 0.00, 3 380.48, 1 934.00, 310.52,0.0
2024-02-20, 28 073.24,16,27, 28 073.24, 4 922.00, 0.00, 5 472.25, 712.00, 631.76,0.0
2024-02-21, 18 159.24,13,23, 18 159.24, 3 754.10, 0.00, 3 405.25, 1 133.00, 450.76,0.0
2024-02-22, 7 127.00,7,12, 7 127.00, 3 295.00, 0.00, 1 336.40, 445.00, 0.00,0.0
2024-02-23, 20 976.00,16,31, 20 976.00, 2 733.00, 0.00, 3 963.80, 1 157.00, 0.00,0.0
2024-02-24, 11 584.00,10,18, 11 584.00, 288.00, 0.00, 2 174.40, 712.00, 0.00,0.0
2024-02-25, 4 533.60,6,12, 4 533.60, 0.00, 0.00, 817.72, 445.00, 359.40,0.0
2024-02-26, 15 064.30,16,28, 15 064.30, 0.00, 0.00, 2 785.02, 1 157.00, 342.70,0.0
2024-02-27, 18 202.10,18,27, 18 202.10, 4 772.10, 0.00, 3 373.42, 1 335.00, 279.90,0.0
